wavelength,wave_fit
875.313,False
876.875,False
878.438,False
880.0,False
881.563,False
883.125,False
884.688,False
886.25,False
887.813,False
889.375,False
890.938,False
892.5,False
894.063,False
895.625,False
897.188,False
898.75,False
900.313,False
901.875,False
903.438,False
905.0,False
906.563,False
908.125,False
909.688,False
911.25,False
912.813,False
914.375,False
915.938,False
917.5,False
919.063,False
920.625,False
922.188,False
923.75,False
925.313,False
926.875,False
928.438,False
930.0,False
931.563,False
933.125,False
934.688,False
936.25,False
937.813,False
939.375,False
940.938,False
942.5,False
944.063,False
945.625,False
947.188,False
948.75,False
950.313,False
951.875,False
953.438,False
955.0,False
956.563,False
958.125,False
959.688,False
961.25,False
962.813,False
964.375,False
965.938,False
967.5,False
969.063,False
970.625,False
972.188,False
973.75,False
975.313,False
976.875,False
978.438,False
980.0,False
981.563,False
983.125,False
984.688,False
986.25,False
987.813,False
989.375,False
990.938,False
992.5,False
994.063,False
995.625,False
997.188,False
998.75,False
1000.31,True
1001.88,True
1003.44,True
1005.0,True
1006.56,True
1008.13,True
1009.69,True
1011.25,True
1012.81,True
1014.38,True
1015.94,True
1017.5,True
1019.06,True
1020.63,True
1022.19,True
1023.75,True
1025.31,True
1026.88,True
1028.44,True
1030.0,True
1031.56,True
1033.13,True
1034.69,True
1036.25,True
1037.81,True
1039.38,True
1040.94,True
1042.5,True
1044.06,True
1045.63,True
1047.19,True
1048.75,True
1050.31,True
1051.88,True
1053.44,True
1055.0,True
1056.56,True
1058.13,True
1059.69,True
1061.25,True
1062.81,True
1064.38,True
1065.94,True
1067.5,True
1069.06,True
1070.63,True
1072.19,True
1073.75,True
1075.31,True
1076.88,True
1078.44,True
1080.0,True
1081.56,True
1083.13,True
1084.69,True
1086.25,True
1087.81,True
1089.38,True
1090.94,True
1092.5,True
1094.06,True
1095.63,True
1097.19,True
1098.75,True
1100.31,True
1101.88,True
1103.44,True
1105.0,True
1106.56,True
1108.13,True
1109.69,True
1111.25,True
1112.81,True
1114.38,True
1115.94,True
1117.5,True
1119.06,True
1120.63,True
1122.19,True
1123.75,True
1125.31,True
1126.88,True
1128.44,True
1130.0,True
1131.56,True
1133.13,True
1134.69,True
1136.25,True
1137.81,True
1139.38,True
1140.94,True
1142.5,True
1144.06,True
1145.63,True
1147.19,True
1148.75,True
1150.31,True
1151.88,True
1153.44,True
1155.0,True
1156.56,True
1158.13,True
1159.69,True
1161.25,True
1162.81,True
1164.38,True
1165.94,True
1167.5,True
1169.06,True
1170.63,True
1172.19,True
1173.75,True
1175.31,True
1176.88,True
1178.44,True
1180.0,True
1181.56,True
1183.13,True
1184.69,True
1186.25,True
1187.81,True
1189.38,True
1190.94,True
1192.5,True
1194.06,True
1195.63,True
1197.19,True
1198.75,True
1200.31,True
1201.88,True
1203.44,True
1205.0,True
1206.56,True
1208.13,True
1209.69,True
1211.25,True
1212.81,True
1214.38,True
1215.94,True
1217.5,True
1219.06,True
1220.63,True
1222.19,True
1223.75,True
1225.31,True
1226.88,True
1228.44,True
1230.0,True
1231.56,True
1233.13,True
1234.69,True
1236.25,True
1237.81,True
1239.38,True
1240.94,True
1242.5,True
1244.06,True
1245.63,True
1247.19,True
1248.75,True
1250.31,True
1251.88,True
1253.44,True
1255.0,True
1256.56,True
1258.13,True
1259.69,True
1261.25,True
1262.81,True
1264.38,True
1265.94,True
1267.5,True
1269.06,True
1270.63,True
1272.19,True
1273.75,True
1275.31,True
1276.88,True
1278.44,True
1280.0,True
1281.56,True
1283.13,True
1284.69,True
1286.25,True
1287.81,True
1289.38,True
1290.94,True
1292.5,True
1294.06,True
1295.63,True
1297.19,True
1298.75,True
1300.31,False
1301.88,False
1303.44,False
1305.0,False
1306.56,False
1308.13,False
1309.69,False
1311.25,False
1312.81,False
1314.38,False
1315.94,False
1317.5,False
1319.06,False
1320.63,False
1322.19,False
1323.75,False
1325.31,False
1326.88,False
1328.44,False
1330.0,False
1331.56,False
1333.13,False
1334.69,False
1336.25,False
1337.81,False
1339.38,False
1340.94,False
1342.5,False
1344.06,False
1345.63,False
1347.19,False
1348.75,False
1350.31,False
1351.88,False
1353.44,False
1355.0,False
1356.56,False
1358.13,False
1359.69,False
1361.25,False
1362.81,False
1364.38,False
1365.94,False
1367.5,False
1369.06,False
1370.63,False
1372.19,False
1373.75,False
1375.31,False
1376.88,False
1378.44,False
1380.0,False
1381.56,False
1383.13,False
1384.69,False
1386.25,False
1387.81,False
1389.38,False
1390.94,False
1392.5,False
1394.06,False
1395.63,False
1397.19,False
1398.75,False
1400.31,False
1401.88,False
1403.44,False
1405.0,False
1406.56,False
1408.13,False
1409.69,False
1411.25,False
1412.81,False
1414.38,False
1415.94,False
1417.5,False
1419.06,False
1420.63,False
1422.19,False
1423.75,False
1425.31,False
1426.88,False
1428.44,False
1430.0,False
1431.56,False
1433.13,False
1434.69,False
1436.25,False
1437.81,False
1439.38,False
1440.94,False
1442.5,False
1444.06,False
1445.63,False
1447.19,False
1448.75,False
1450.31,False
1451.88,False
1453.44,False
1455.0,False
1456.56,False
1458.13,False
1459.69,False
1461.25,True
1462.81,True
1464.38,True
1465.94,True
1467.5,True
1469.06,True
1470.63,True
1472.19,True
1473.75,True
1475.31,True
1476.88,True
1478.44,True
1480.0,True
1481.56,True
1483.13,True
1484.69,True
1486.25,True
1487.81,True
1489.38,True
1490.94,True
1492.5,True
1494.06,True
1495.63,True
1497.19,True
1498.75,True
1500.31,True
1501.88,True
1503.44,True
1505.0,True
1506.56,True
1508.13,True
1509.69,True
1511.25,True
1512.81,True
1514.38,True
1515.94,True
1517.5,True
1519.06,True
1520.63,True
1522.19,True
1523.75,True
1525.31,True
1526.88,True
1528.44,True
1530.0,True
1531.56,True
1533.13,True
1534.69,True
1536.25,True
1537.81,True
1539.38,True
1540.94,True
1542.5,True
1544.06,True
1545.63,True
1547.19,True
1548.75,True
1550.31,True
1551.88,True
1553.44,True
1555.0,True
1556.56,True
1558.13,True
1559.69,True
1561.25,True
1562.81,True
1564.38,True
1565.94,True
1567.5,True
1569.06,True
1570.63,True
1572.19,True
1573.75,True
1575.31,True
1576.88,True
1578.44,True
1580.0,True
1581.56,True
1583.13,True
1584.69,True
1586.25,True
1587.81,True
1589.38,True
1590.94,True
1592.5,True
1594.06,True
1595.63,True
1597.19,True
1598.75,True
1600.31,True
1601.88,True
1603.44,True
1605.0,True
1606.56,True
1608.13,True
1609.69,True
1611.25,True
1612.81,True
1614.38,True
1615.94,True
1617.5,True
1619.06,True
1620.63,True
1622.19,True
1623.75,True
1625.31,True
1626.88,True
1628.44,True
1630.0,True
1631.56,True
1633.13,True
1634.69,True
1636.25,True
